micro,year,name,num,ast
Klebsiella pneumoniae|Carbapenems,2014,Spain,29,R
Klebsiella pneumoniae|Carbapenems,2014,Finland,0,R
Klebsiella pneumoniae|Carbapenems,2014,France,10,R
Klebsiella pneumoniae|Carbapenems,2014,Croatia,3,R
Klebsiella pneumoniae|Carbapenems,2014,Hungary,7,R
Klebsiella pneumoniae|Carbapenems,2014,Ireland,2,R
Klebsiella pneumoniae|Carbapenems,2014,Iceland,0,R
Klebsiella pneumoniae|Carbapenems,2014,Italy,433,R
Klebsiella pneumoniae|Carbapenems,2014,Lithuania,2,R
Klebsiella pneumoniae|Carbapenems,2014,Luxembourg,1,R
Klebsiella pneumoniae|Carbapenems,2014,Latvia,2,R
Klebsiella pneumoniae|Carbapenems,2014,Malta,9,R
Klebsiella pneumoniae|Carbapenems,2014,Netherlands,3,R
Klebsiella pneumoniae|Carbapenems,2014,Norway,0,R
Klebsiella pneumoniae|Carbapenems,2014,Poland,6,R
Klebsiella pneumoniae|Carbapenems,2014,Portugal,30,R
Klebsiella pneumoniae|Carbapenems,2014,Romania,81,R
Klebsiella pneumoniae|Carbapenems,2014,Sweden,0,R
Klebsiella pneumoniae|Carbapenems,2014,Slovenia,2,R
Klebsiella pneumoniae|Carbapenems,2014,Slovakia,12,R
Klebsiella pneumoniae|Carbapenems,2014,United Kingdom,9,R
Klebsiella pneumoniae|Carbapenems,2015,Austria,8,R
Klebsiella pneumoniae|Carbapenems,2015,Belgium,2,R
Klebsiella pneumoniae|Carbapenems,2015,Bulgaria,3,R
Klebsiella pneumoniae|Carbapenems,2015,Cyprus,8,R
Klebsiella pneumoniae|Carbapenems,2015,Czechia,3,R
Klebsiella pneumoniae|Carbapenems,2015,Germany,2,R
Klebsiella pneumoniae|Carbapenems,2015,Denmark,0,R
Klebsiella pneumoniae|Carbapenems,2015,Estonia,0,R
Klebsiella pneumoniae|Carbapenems,2015,Greece,734,R
Klebsiella pneumoniae|Carbapenems,2015,Spain,32,R
Klebsiella pneumoniae|Carbapenems,2015,Finland,0,R
Klebsiella pneumoniae|Carbapenems,2015,France,11,R
Klebsiella pneumoniae|Carbapenems,2015,Croatia,9,R
Klebsiella pneumoniae|Carbapenems,2015,Hungary,1,R
Klebsiella pneumoniae|Carbapenems,2015,Ireland,2,R
Klebsiella pneumoniae|Carbapenems,2015,Iceland,0,R
Klebsiella pneumoniae|Carbapenems,2015,Italy,670,R
Klebsiella pneumoniae|Carbapenems,2015,Lithuania,0,R
Klebsiella pneumoniae|Carbapenems,2015,Luxembourg,0,R
Klebsiella pneumoniae|Carbapenems,2015,Latvia,0,R
Klebsiella pneumoniae|Carbapenems,2015,Malta,4,R
Klebsiella pneumoniae|Carbapenems,2015,Netherlands,2,R
Klebsiella pneumoniae|Carbapenems,2015,Norway,1,R
Klebsiella pneumoniae|Carbapenems,2015,Poland,3,R
Klebsiella pneumoniae|Carbapenems,2015,Portugal,70,R
Klebsiella pneumoniae|Carbapenems,2015,Romania,67,R
Klebsiella pneumoniae|Carbapenems,2015,Sweden,0,R
Klebsiella pneumoniae|Carbapenems,2015,Slovenia,3,R
Klebsiella pneumoniae|Carbapenems,2015,Slovakia,4,R
Klebsiella pneumoniae|Carbapenems,2015,United Kingdom,4,R
Klebsiella pneumoniae|Carbapenems,2016,Austria,8,R
Klebsiella pneumoniae|Carbapenems,2016,Belgium,16,R
Klebsiella pneumoniae|Carbapenems,2016,Bulgaria,7,R
Klebsiella pneumoniae|Carbapenems,2016,Cyprus,8,R
Klebsiella pneumoniae|Carbapenems,2016,Czechia,0,R
Klebsiella pneumoniae|Carbapenems,2016,Germany,15,R
Klebsiella pneumoniae|Carbapenems,2016,Denmark,3,R
Klebsiella pneumoniae|Carbapenems,2016,Estonia,0,R
Klebsiella pneumoniae|Carbapenems,2016,Greece,789,R
Klebsiella pneumoniae|Carbapenems,2016,Spain,35,R
Klebsiella pneumoniae|Carbapenems,2016,Finland,2,R
Klebsiella pneumoniae|Carbapenems,2016,France,10,R
Klebsiella pneumoniae|Carbapenems,2016,Croatia,0,R
Klebsiella pneumoniae|Carbapenems,2016,Hungary,3,R
Klebsiella pneumoniae|Carbapenems,2016,Ireland,3,R
Klebsiella pneumoniae|Carbapenems,2016,Iceland,0,R
Klebsiella pneumoniae|Carbapenems,2016,Italy,783,R
Klebsiella pneumoniae|Carbapenems,2016,Lithuania,0,R
Klebsiella pneumoniae|Carbapenems,2016,Luxembourg,0,R
Klebsiella pneumoniae|Carbapenems,2016,Latvia,2,R
